2025-10-04T03:38:13.998288Z	Starting new instance. Reason: AUTOSCALING - Instance started due to configured scaling factors (e.g. CPU utilization, request throughput, etc.) or no existing capacity for current traffic.	
2025-10-04T03:38:13.943951Z		
2025-10-04T03:12:51.020011Z		vertex.proxy.success
2025-10-04T03:12:50.756271Z		vertex.proxy.request
2025-10-04T03:12:50.756114Z		vertex.proxy.call
2025-10-04T03:12:50.752321Z		
2025-10-04T03:12:47.866792Z		vertex.proxy.success
2025-10-04T03:12:45.612398Z		vertex.proxy.request
2025-10-04T03:12:45.612224Z		vertex.proxy.call
2025-10-04T03:12:45.602315Z		
2025-10-04T03:11:04.649659Z		vertex.proxy.success
2025-10-04T03:11:04.436670Z		vertex.proxy.request
2025-10-04T03:11:04.436465Z		vertex.proxy.call
2025-10-04T03:11:04.432589Z		
2025-10-04T03:10:51.969920Z		vertex.proxy.error
2025-10-04T03:10:51.916850Z		vertex.proxy.request
2025-10-04T03:10:51.916662Z		vertex.proxy.call
2025-10-04T03:10:51.912Z		
2025-10-04T03:10:43.364995Z		vertex.proxy.error
2025-10-04T03:10:43.310689Z		vertex.proxy.request
2025-10-04T03:10:43.309577Z		vertex.proxy.call
2025-10-04T03:10:43.293528Z		
2025-10-04T03:10:19.017403Z		vertex.proxy.error
2025-10-04T03:10:18.966507Z		vertex.proxy.request
2025-10-04T03:10:18.966256Z		vertex.proxy.call
2025-10-04T03:10:18.960823Z		
2025-10-04T03:10:12.282170Z		vertex.proxy.error
2025-10-04T03:10:12.094765Z		vertex.proxy.request
2025-10-04T03:10:12.046592Z		vertex.proxy.call
2025-10-04T03:10:12.026143Z		
2025-10-04T03:10:01.928338Z		
2025-10-04T03:08:33.297119Z		
2025-10-04T03:08:31.992839Z		
2025-10-04T03:08:31.917998Z		vertex.proxy.started
2025-10-04T03:08:31.916822Z	Default STARTUP TCP probe succeeded after 1 attempt for container "vertex-proxy-1" on port 8080.	
2025-10-04T03:08:29.543927Z	Starting new instance. Reason: DEPLOYMENT_ROLLOUT - Instance started due to traffic shifting between revisions due to deployment, traffic split adjustment, or deployment health check.	
2025-10-04T03:07:06.003381Z		
